Strike ID,Date,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_2,Adm_3
SOM001,07/01/2007,Ras Kamboni,8,10,2,2,0,1,1,3,Unknown,Unknown
SOM002,09/01/2007,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",5,10,0,0,0,0,4,5,Unknown,Unknown
SOM003,09/01/2007,Hayo,4,31,4,31,0,1,0,0,Unknown,Unknown
SOM004,23/01/2007,Waldena,8,8,0,0,0,0,0,0,Unknown,Unknown
SOM005,01/06/2007,Bargal,8,12,0,0,0,0,0,0,Unknown,Unknown
SOM006,03/03/2008,Dhobley,0,6,0,4,0,0,3,8,Unknown,Unknown
SOM007,01/05/2008,Dusa Marreb,8,15,5,10,0,0,0,0,Unknown,Unknown
SOM008,14/09/2009,Barawe,2,6,0,0,0,0,2,2,Unknown,Unknown
SOM009,03/04/2011,Dhobley,1,36,0,0,0,0,0,0,Unknown,Unknown
SOM010,23/06/2011,Kismayo,2,2,0,0,0,0,2,3,Unknown,Unknown
SOM011,06/07/2011,Juba,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM012,25/09/2011,Kismayo,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM013,14/11/2011,Afgoye,0,2,0,0,0,0,0,0,Unknown,Unknown
SOM014,21/01/2012,Elasha Biyaha,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM015,24/02/2012,Lower Shabelle,3,7,0,1,0,0,0,0,Unknown,Unknown
SOM016,17/04/2012,"Gumh, Puntland",0,0,0,0,0,0,2,2,Unknown,Unknown
SOM017,05/10/2013,"Barawe, Shabeellaha Hoose",1,7,0,0,0,0,1,1,Unknown,Unknown
SOM018,28/10/2013,"Jillib, Middle Juba",2,3,0,0,0,0,0,0,Unknown,Unknown
SOM019,26/01/2014,"Hawai, Lower Shabelle",2,9,0,2,0,2,0,1,Unknown,Unknown
SOM020,01/08/2014,"Barawe, Lower Shabelle",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM021,29/12/2014,Saakow,2,3,0,0,0,0,0,0,Unknown,Unknown
SOM022,31/01/2015,"Dugule, Lower Shabelle",40,60,0,0,0,0,0,0,Unknown,Unknown
SOM023,31/01/2015,"Dinsoor, Bay Region",2,9,0,4,0,0,0,4,Unknown,Unknown
SOM024,12/03/2015,"Abaq Xaluul village, Baardheere, Gedo region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM025,15/07/2015,"Baardheere, Gedo Region",2,3,0,0,0,0,0,0,Unknown,Unknown
SOM026,15/07/2015,"Baardheere, Gedo Region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM027,21/11/2015,"Balad Amin, Lower Shabelle",5,10,0,0,0,0,0,0,Unknown,Unknown
SOM028,29/11/2015,"Yasooman, Ceeldheer and Ceel Lahelay villages, Hiraan region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM029,02/12/2015,"Kunyo-Barow, Lower Shabelle",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM030,21/12/2015,"Kuntuwarey district, Lower Shabelle",5,5,0,0,0,0,0,0,Unknown,Unknown
SOM031,05/03/2016,"Raso Camp, Hiraaan",150,200,0,0,0,0,0,0,Unknown,Unknown
SOM032,08/03/2016,"Awdhegle, Lower Shabelle",19,19,0,0,0,0,0,0,Unknown,Unknown
SOM033,31/03/2016,"Jillib, Middle Juba",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM034,01/04/2016,Unknown,0,22,0,0,0,0,0,0,Unknown,Unknown
SOM035,02/04/2016,Unknown,6,6,0,0,0,0,0,0,Unknown,Unknown
SOM036,06/04/2016,"Jillib, Middle Juba",8,8,0,0,0,0,0,0,Unknown,Unknown
SOM037,11/04/2016,Lower Juba,8,12,3,3,0,0,0,0,Unknown,Unknown
SOM038,12/05/2016,"Afgoye, Lower Shabelle",5,5,0,0,0,0,0,0,Unknown,Unknown
SOM039,27/05/2016,South-central Somalia,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM040,21/06/2016,Southern Somalia,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM041,30/08/2016,Near Gobanale,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM042,05/09/2016,Tortoroow,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM043,26/09/2016,"Caba, near Kismayo",4,4,0,0,0,0,0,0,Unknown,Unknown
SOM044,28/09/2016,"Galcayo, Galmudug ",10,22,0,2,0,0,3,16,Unknown,Unknown
SOM045,07/01/2017,Gaduug,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM046,04/05/2017,"Dar es Salam village, Lower Shabelle",4,9,0,0,0,0,0,0,Unknown,Unknown
SOM047,11/06/2017,"Sakow, Middle Juba region",8,8,0,0,0,0,0,0,Unknown,Unknown
SOM048,02/07/2017,"Kunyo Barrow, Lower Shabelle",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM049,04/07/2017,"Luglaw, Jubba region",10,13,0,0,0,0,10,10,Unknown,Unknown
SOM050,13/07/2017,"Kunyo Barrow, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM051,15/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM052,20/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM053,21/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM054,28/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM055,29/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM056,29/07/2017,"Tortoroow, Lower Shabelle",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM057,10/08/2017,Banadiir region,0,1,0,0,0,0,0,0,Unknown,Unknown
SOM058,16/08/2017,"Jillib, Middle Juba",7,7,0,7,0,0,0,0,Unknown,Unknown
SOM059,25/08/2017,"Bariire, Lower Shabelle region",0,10,0,10,0,3,0,0,Unknown,Unknown
SOM060,31/08/2017,"Barawe, Lower Shabelle",1,1,0,0,0,0,1,1,Unknown,Unknown
SOM061,05/09/2017,Bay region,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM062,07/09/2017,"Barawe, Lower Shabelle",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM063,13/09/2017,Southern Somalia,6,6,0,0,0,0,0,0,Unknown,Unknown
SOM064,30/09/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM065,02/10/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM066,16/10/2017,"Bariire, Lower Shabelle region",0,5,0,2,0,0,0,8,Unknown,Unknown
SOM067,03/11/2017,"Qandala town, Puntland",3,20,0,0,0,0,0,0,Unknown,Unknown
SOM068,09/11/2017,Bay region,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM069,10/11/2017,"Basra village, Lower Shabelle ",13,13,0,3,0,0,0,0,Unknown,Unknown
SOM070,11/11/2017,Gaduud,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM071,12/11/2017,Lower Shabelle,3,3,0,3,0,0,0,0,Unknown,Unknown
SOM072,12/11/2017,Puntland,23,23,0,0,0,0,0,0,Unknown,Unknown
SOM073,13/11/2017,"Awhiigle, Gaduud",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM074,14/11/2017,"Idow Jalad, Lower Shabelle",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM075,21/11/2017,Bay region,100,100,0,0,0,0,0,0,Unknown,Unknown
SOM076,27/11/2017,Northeastern,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM077,12/12/2017,"Mubarak, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM078,15/12/2017,30 miles northwest of Kismayo,8,8,0,0,0,0,0,0,Unknown,Unknown
SOM079,24/12/2017,Southern Somalia,13,13,0,0,0,0,0,0,Unknown,Unknown
SOM080,27/12/2017,25 kilometers west of Mogadishu,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM081,02/01/2018,50 kilometers west of Mogadishu,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM082,18/01/2018,51 kilometers northwest of Kismayo,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM083,18/01/2018,Middle Shabelle region,0,5,0,0,0,5,0,6,Unknown,Unknown
SOM084,06/02/2018,"Kunyo Barrow, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM085,19/02/2018,"Jilib, Middle Juba Region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM086,21/02/2018,"Jamaame, Lower Juba region",4,5,0,2,0,0,0,0,Unknown,Unknown
SOM087,26/02/2018,"Jilib, Middle Juba Region",2,2,0,0,0,0,1,1,Unknown,Unknown
SOM088,12/03/2018,"Kamsuuma, Lower Juba region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM089,13/03/2018,"Jamecco, Middle Shabelle",12,12,0,0,0,0,15,15,Unknown,Unknown
SOM090,19/03/2018,"Mubarak, Lower Shabelle",2,2,0,0,0,0,3,3,Unknown,Unknown
SOM091,01/04/2018,"El Burr, Galmudug",6,6,2,2,1,1,0,0,Unknown,Unknown
SOM092,05/04/2018,"Jilib, Middle Juba Region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM093,11/04/2018,"Jana Cabdalle, Kismayo",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM094,16/04/2018,"Leego, Lower Shabelle ",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM095,09/05/2018,Lower Shabelle ,0,5,0,5,0,0,0,0,Unknown,Unknown
SOM096,23/05/2018,Lower Shabelle ,10,10,0,0,0,0,0,0,Unknown,Unknown
SOM097,31/05/2018,30 miles southwest of Mogadishu,12,12,0,0,0,0,0,0,Unknown,Unknown
SOM098,02/06/2018,26 miles southwest of Bosasso,27,27,0,0,0,0,0,0,Unknown,Unknown
SOM099,03/06/2018,24 miles southwest of Bosasso,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM100,08/06/2018,Jubaland ,1,1,0,0,0,0,5,5,Unknown,Unknown
SOM101,23/07/2018,50 kilometres north of Kismayo,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM102,02/08/2018,74 miles northwest of Mogadishu,4,4,0,3,0,0,0,0,Unknown,Unknown
SOM103,21/08/2018,46 kilometres northeast of Kismayo,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM104,27/08/2018,40 kilometers southwest of Mogadishu,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM105,11/09/2018,"Mubaraak, 37 miles west of Mogadishu",2,2,0,0,0,0,1,1,Unknown,Unknown
SOM106,21/09/2018,"50 kilometres northwest of Kismayo, Lower Juba",18,18,0,0,0,0,0,0,Unknown,Unknown
SOM107,01/10/2018,40 kilometres northeast of Kismayo ,9,9,0,0,0,0,1,1,Unknown,Unknown
SOM108,06/10/2018,"Near Kunya Barrow, Lower Shabelle ",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM109,12/10/2018,"Haradere, Galmudug",60,60,0,0,0,0,0,0,Unknown,Unknown
SOM110,14/10/2018,"Vicinity of Araara, Lower Juba region",4,4,0,0,0,0,0,0,Unknown,Unknown
SOM111,25/10/2018,Vicinity of Kunya Barrow ,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM112,19/11/2018,Vicinity of Debatscile,27,27,0,0,0,0,0,0,Unknown,Unknown
SOM113,19/11/2018,Vicinity of Debatscile,10,10,0,0,0,0,0,0,Unknown,Unknown
SOM114,20/11/2018,"Vicinity of Quy Cad, Mudug",7,7,0,0,0,0,0,0,Unknown,Unknown
SOM115,21/11/2018,"Vicinity of Haradere, Galmudug",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM116,21/11/2018,"Vicinity of Haradere, Galmudug",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM117,27/11/2018,"Vicinity of Quy Cad, Near Debatscile, Mudug region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM118,30/11/2018,Near Lebede,9,9,0,0,0,0,0,0,Unknown,Unknown
SOM119,04/12/2018,"Vicinity of Awdheegle, Lower Shabelle",4,4,0,0,0,0,0,0,Unknown,Unknown
SOM120,08/12/2018,Vicinity of Basra,4,4,0,1,0,0,0,1,Unknown,Unknown
SOM121,15/12/2018,Vicinity of Gandarshe,34,34,0,0,0,0,0,0,Unknown,Unknown
SOM122,16/12/2018,Vicinity of Gandarshe,28,28,0,0,0,0,0,0,Unknown,Unknown
SOM123,19/12/2018,Vicinity of Beled Amin South​,11,11,0,0,0,0,0,0,Unknown,Unknown
SOM124,02/01/2019,"Vicinity of Dheerow Sanle, Lower Shabelle",10,10,0,0,0,0,0,0,Unknown,Unknown
SOM125,06/01/2019,"Vicinity of Dheerow Sanle, Lower Shabelle",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM126,07/01/2019,"Vicinity of Baqdaad, Lower Juba region​",4,4,0,0,0,0,0,0,Unknown,Unknown
SOM127,08/01/2019,"Vicinity of Yaaq Braawe, Bay Region​",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM128,19/01/2019,"Near Jilib, Middle Juba region",52,52,0,0,0,0,0,0,Unknown,Unknown
SOM129,23/01/2019,"Near Jilib, Middle Juba region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM130,30/01/2019,"Vicinity of Shebeeley, Hiran Region",24,24,0,0,0,0,0,0,Unknown,Unknown
SOM131,01/02/2019,"Vicinity of Gandarshe, Lower Shabelle Region",13,13,0,0,0,0,0,0,Unknown,Unknown
SOM132,03/02/2019,"Vicinity of Gandarshe, Lower Shabelle Region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM133,05/02/2019,"Vicinity of Leego, Bay Region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM134,06/02/2019,"Gandarshe, Lower Shabelle",11,11,0,0,0,0,0,0,Unknown,Unknown
SOM135,07/02/2019,"Bariire, Lower Shabelle region",4,4,0,0,0,0,0,0,Unknown,Unknown
SOM136,08/02/2019,Kobon,8,8,0,0,0,0,0,0,Unknown,Unknown
SOM137,11/02/2019,"Janaale, Lower Shabelle",12,13,0,13,0,0,0,0,Unknown,Unknown
SOM138,23/02/2019,"Kunyow Barrow, 250km southwest of Mogadishu",2,4,0,3,0,1,0,0,Unknown,Unknown
SOM139,23/02/2019,"Vicinity of Awdeegle, 50 km west of Mogadishu",0,3,0,0,0,0,0,0,Unknown,Unknown
SOM140,23/02/2019,"Vicinity of Janaale, 75 km southwest of Mogadishu",0,2,0,0,0,0,0,0,Unknown,Unknown
SOM141,24/02/2019,"Rural location, 23 miles east of Beledweyne, Hiran Region",35,35,0,0,0,0,0,0,Unknown,Unknown
SOM142,25/02/2019,"Vicinity of Shebeeley, Hiran Region, Somalia",20,20,0,0,0,0,0,0,Unknown,Unknown
SOM143,28/02/2019,Vicinity of Hiran,26,26,0,0,0,0,0,0,Unknown,Unknown
SOM144,11/03/2019,"Vicinity of Dara Salaam, Lower Shabelle Region",8,8,0,7,0,0,0,1,Unknown,Unknown
SOM145,12/03/2019,"Vicinity of Huley, Lower Shabelle region.",2,2,0,0,0,0,0,0,Unknown,Unknown
SOM146,13/03/2019,"Vicinity of Malayle, Lower Juba region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM147,18/03/2019,"Awdheegle, lower Shabelle region",3,7,0,4,0,0,0,0,Unknown,Unknown
SOM148,09/04/2019,"Jilib, Middle Juba Region",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM149,11/04/2019,"Garowle, Lower Shabelle region",2,2,0,0,0,0,0,0,Unknown,Unknown
SOM150,14/04/2019,"Vicinity of Xiriiro, Bari region",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM151,19/04/2019,"Vicinity of Jamaame, Lower Juba Region",2,2,0,0,0,0,0,0,Unknown,Unknown
SOM152,26/04/2019,Golis Mountains,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM153,05/05/2019,Vicinity of Tortoroow,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM154,08/05/2019,Golis Mountains,13,13,0,0,0,0,0,0,Unknown,Unknown
SOM155,09/05/2019,Golis Mountains,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM156,22/05/2019,Golis Mountains,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM157,22/05/2019,"Baled Amin, lower Shabelle",2,2,0,0,0,0,0,0,Unknown,Unknown
SOM158,24/05/2019,Golis Mountains,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM159,26/05/2019,Golis Mountains,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM160,04/06/2019,Golis Mountains,6,6,0,0,0,0,0,0,Unknown,Unknown
SOM161,05/06/2019,Vicinity of Tortoroow,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM162,16/06/2019,Vicinity of Jilib,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM163,24/06/2019,Vicinity of Jilib,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM164,25/06/2019,Vicinity of Kunyo Barrow,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM165,27/07/2019,Golis Mountains,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM166,20/08/2019,Vicinity of Kunyo Barrow,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM167,03/09/2019,Vicinity of Jilib,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM168,17/09/2019,"Northwest of Kismayo, lower Juba province",2,2,0,0,0,0,0,0,Unknown,Unknown
SOM168a,24/09/2019,"near Ugungi, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM169,30/09/2019,"Baledogle Military Airfield (BMA) complex, Baledogle",10,10,0,0,0,0,0,0,Unknown,Unknown
SOM170,30/09/2019,Near Kunyo Barrow,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM171,25/10/2019,"Ameyra village, Golis Mountains",3,3,0,2,0,0,0,1,Unknown,Unknown
SOM172,12/11/2019,Vicinity of Jilib,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM173,19/11/2019,near Qunyo Barrow,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM174,30/11/2019,Vicinity of Jilib,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM175,09/12/2019,Vicinity of Saakow,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM176,16/12/2019,Vicinity of Dujuuma,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM177,29/12/2019,Qunyo Barrow,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM178,29/12/2019,Caliyoow Barrow,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM179,03/01/2020,Bacaw,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM180,16/01/2020,Vicinity of Qunyo Barrow,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM181,19/01/2020,Near Bangeeni,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM182,26/01/2020,Near Jamaame,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM183,27/01/2020,Vicinity of Jilib,1,1,0,1,0,0,0,0,Unknown,Unknown
SOM184,29/01/2020,Vicinity of Jilib,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM185,02/02/2020,Vicinity of Jilib,1,2,0,1,0,0,0,2,Unknown,Unknown
SOM186,04/02/2020,Vicinity of Beer Xaani,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM187,06/02/2020,Vicinity of Jilib,0,0,0,0,0,0,2,2,Unknown,Unknown
SOM188,17/02/2020,Vicinity of Jilib,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM189,19/02/2020,Vicinity of Wadajir,3,3,0,0,0,0,0,0,Unknown,Unknown
